STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QPCP,Measurement Flag,Quality Flag,Units
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730301 00:15,999.99,[, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730313 15:15,999.99,], ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730314 10:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730314 11:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730314 11:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730314 12:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730314 12:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730314 13:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730317 22:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730317 23:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730318 01:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730318 02:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730318 08:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730318 09:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730321 20:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730321 21:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730321 22:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730321 23:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730322 01:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730322 02:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730322 12:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730322 13:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730322 14:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730322 15:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730322 15:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730322 16:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730331 09:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730331 10:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730401 00:15,0.00,g, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730401 05:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730401 06:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730401 07:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730401 08:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730401 09:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730401 10:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730401 15:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730401 16:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730401 19:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730401 20:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730402 01:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730402 02:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730413 04:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730414 09:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730414 16:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730417 08:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730417 09:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730417 14:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730417 17:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730418 22:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730419 17:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730420 18:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730423 14:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730428 22:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730428 22:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730429 09:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730429 10:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730429 11:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730429 12:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730501 00:15,0.00,g, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730501 15:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730520 12:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730520 13:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730520 13:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730520 14:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730520 14:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730520 15:00,0.20,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 03:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 04:00,0.20,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 04:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 05:00,0.30,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19730525 05:45,0.10, , ,HT
