STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units
COOP:420342,ARGENTA UT US,2127.5,40.6425,-111.67806,19960101 00:15,1.16, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.6425,-111.67806,19960102 12:30,1.16, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.6425,-111.67806,19960102 12:45,999.99,[, ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981201 00:15,999.99,[, ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981201 08:00,999.99,], ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981201 08:15,0.54, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981201 08:30,0.54, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981203 20:15,0.55, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981204 08:30,0.56, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981204 11:30,0.57, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981204 19:45,0.58, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981208 06:15,0.59, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981208 17:45,0.60, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981212 10:30,0.61, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981224 07:00,0.62, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981227 23:30,0.63, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981231 13:00,0.64, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981231 14:45,0.65, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981231 16:45,0.66, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981231 19:00,0.67, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19981231 21:15,0.68, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990101 00:15,0.68, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990101 00:30,0.69, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990108 11:45,0.69, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990108 12:15,0.69,N, ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990112 21:00,0.70, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990114 23:45,0.71, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990115 22:45,0.72, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990116 07:00,0.73, , ,HT
